2021-05-10 18:40:42,057:INFO:[Rank-0] args : Namespace(batch=384, dataset='cifar100', epochs=100, lr=0.01, rank=0, train_type='proposal', world=4)
2021-05-10 18:41:35,528:INFO:[Rank-0] step time 0.4176, epoch   0, step  78/131, loss 5.41574309, auc@1 1.55, auc@5 6.72, share 19, std_loss 0.27125148312785685,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:35,911:INFO:[Rank-0] step time 0.3828, epoch   0, step  79/131, loss 5.40500384, auc@1 1.54, auc@5 6.70, share 19, std_loss 0.26942794694553446,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:36,315:INFO:[Rank-0] step time 0.4034, epoch   0, step  80/131, loss 5.39387050, auc@1 1.54, auc@5 6.74, share 19, std_loss 0.2676315695978701,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:36,719:INFO:[Rank-0] step time 0.4036, epoch   0, step  81/131, loss 5.38342079, auc@1 1.59, auc@5 6.78, share 19, std_loss 0.26586351700035143,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:37,105:INFO:[Rank-0] step time 0.3851, epoch   0, step  82/131, loss 5.37278982, auc@1 1.59, auc@5 6.82, share 19, std_loss 0.26412467376851456,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:37,512:INFO:[Rank-0] step time 0.4063, epoch   0, step  83/131, loss 5.36325049, auc@1 1.58, auc@5 6.84, share 19, std_loss 0.2624103823699147,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:37,931:INFO:[Rank-0] step time 0.4188, epoch   0, step  84/131, loss 5.35367757, auc@1 1.56, auc@5 6.86, share 19, std_loss 0.26072320927466663,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:38,348:INFO:[Rank-0] step time 0.4154, epoch   0, step  85/131, loss 5.34330464, auc@1 1.58, auc@5 6.91, share 19, std_loss 0.2590610996765249,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:38,759:INFO:[Rank-0] step time 0.4103, epoch   0, step  86/131, loss 5.33325174, auc@1 1.60, auc@5 6.94, share 19, std_loss 0.2574236919713575,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:39,179:INFO:[Rank-0] step time 0.4198, epoch   0, step  87/131, loss 5.32343320, auc@1 1.64, auc@5 7.04, share 19, std_loss 0.2558158050323355,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:39,582:INFO:[Rank-0] step time 0.4022, epoch   0, step  88/131, loss 5.31413682, auc@1 1.66, auc@5 7.08, share 19, std_loss 0.25422885616055946,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:39,963:INFO:[Rank-0] step time 0.3808, epoch   0, step  89/131, loss 5.30534941, auc@1 1.66, auc@5 7.08, share 19, std_loss 0.25266229260838435,  6.17826 6.36425 6.40560 6.74271
